Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend,Rolling Mean,Bollinger High,Bollinger Low
2019-06-10,210.25,216.940002,209.009995,212.880005,212.880005,10585000,6,2019,-1.9438051051919425,Negative,219.3757139285712,229.70138367423962,209.05004418290278
2019-06-07,205.0,210.839996,203.5,204.5,204.5,16003500,6,2019,-3.9364922976208967,Among Top Losers,218.06571421428546,230.85721928130022,205.2742091472707
2019-06-06,204.440002,211.0,201.800003,205.949997,205.949997,20242200,6,2019,0.7090449877750649,Slight Positive,217.11428514285691,231.4126519559464,202.81591832976744
2019-06-05,198.679993,201.279999,191.850006,196.589996,196.589996,13510800,6,2019,-4.544792977103085,Among Top Losers,215.4592852142855,233.35076166732836,197.56780876124265
2019-06-04,181.100006,193.979996,179.610001,193.600006,193.600006,13807500,6,2019,-1.5209268329198111,Negative,213.31357142857124,233.97038482529726,192.65675803184521
2019-06-03,185.509995,186.679993,176.990005,178.970001,178.970001,13064400,6,2019,-7.55682053026383,Bear Drop,210.2499999999998,237.2076910494926,183.292308950507
2019-05-31,185.100006,189.919998,184.100006,185.160004,185.160004,10406700,5,2019,3.4586818826692682,Among Top Gainers,207.78857207142838,237.23850823724115,178.3386359056156
2019-05-30,188.75,192.259995,187.020004,188.220001,188.220001,7926500,5,2019,1.652623101045081,Positive,205.05928692857123,234.14727726886872,175.97129658827373
2019-05-29,187.100006,192.389999,185.039993,189.860001,189.860001,11968600,5,2019,0.8713207901853259,Slight Positive,202.56785807142836,230.3397194369826,174.79599670587413
2019-05-28,191.199997,195.0,187.850006,188.699997,188.699997,10312900,5,2019,-0.6109786126041405,Slight Negative,199.97285792857124,225.3932698193879,174.55244603775458
2019-05-24,199.830002,199.979996,188.75,190.630005,190.630005,14136600,5,2019,1.0227917491699934,Positive,198.23785842857123,222.555437610282,173.92027924686045
2019-05-23,194.339996,199.470001,186.220001,195.490005,195.490005,26547100,5,2019,2.54944125926031,Positive,196.92214421428554,219.519415889168,174.3248725394031
2019-05-22,199.100006,203.940002,191.779999,192.729996,192.729996,18685200,5,2019,-1.4118414903104617,Negative,195.74142999999984,217.26353722519076,174.21932277480892
2019-05-21,197.759995,207.399994,196.039993,205.080002,205.080002,18003900,5,2019,6.4079314358518555,Among Top Gainers,194.88285828571412,213.4971926786772,176.26852389275103
2019-05-20,202.800003,206.0,195.25,205.360001,205.360001,20526200,5,2019,0.13653159609390286,Slight or No Change,194.345715142857,211.05994313919896,177.631487146515
2019-05-17,221.960007,222.240005,208.919998,211.02999900000003,211.02999900000003,17786700,5,2019,2.7610040769331823,Positive,194.81214364285697,213.04269835104424,176.5815889346697
2019-05-16,229.490005,231.0,226.5,228.330002,228.330002,7483300,5,2019,8.197888016859611,Bull Run,196.41071542857125,221.48762275251133,171.33380810463117
2019-05-15,229.320007,232.440002,225.25,231.949997,231.949997,7296000,5,2019,1.5854224010386495,Positive,198.93642978571413,230.40052797802272,167.47233159340553
2019-05-14,229.300003,234.5,228.0,232.309998,232.309998,7252400,5,2019,0.1552062964674139,Slight or No Change,201.70142921428555,237.63191905103034,165.77093937754077
2019-05-13,232.00999500000003,232.470001,224.5,227.00999500000003,227.00999500000003,10834800,5,2019,-2.2814356014070336,Negative,205.13285735714268,240.8871909762534,169.37852373803196
