Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend
2019-04-03,287.320007,296.170013,287.170013,291.809998,291.809998,7929900,4,2019,8.973784109992454,Bull Run
2019-04-02,288.299988,289.440002,283.880005,285.880005,285.880005,5478900,4,2019,-2.0321418185267337,Negative
2019-04-01,282.619995,289.200012,281.27999900000003,289.179993,289.179993,8110400,4,2019,1.154326270562378,Positive
2019-03-29,278.700012,280.160004,274.5,279.859985,279.859985,5991300,3,2019,-3.222908992877671,Among Top Losers
2019-03-28,277.160004,280.329987,275.100006,278.619995,278.619995,6774100,3,2019,-0.44307513273109667,Slight or No Change
2019-03-27,268.75,275.369995,268.179993,274.829987,274.829987,8779200,3,2019,-1.3602785399518758,Negative
2019-03-26,264.440002,270.26001,264.429993,267.769989,267.769989,7350900,3,2019,-2.5688601440715497,Negative
2019-03-25,259.709991,263.179993,254.460007,260.420013,260.420013,10215000,3,2019,-2.744884155035021,Negative
2019-03-22,272.579987,272.799988,264.0,264.52999900000003,264.52999900000003,8745600,3,2019,1.5782143440719487,Positive
2019-03-21,272.600006,276.450012,268.450012,274.019989,274.019989,5947100,3,2019,3.587491035374013,Among Top Gainers
2019-03-20,269.690002,274.97000099999997,266.299988,273.600006,273.600006,6908200,3,2019,-0.1532672859132167,Slight or No Change
2019-03-19,267.5,273.299988,263.459991,267.47000099999997,267.47000099999997,11800600,3,2019,-2.2404988543750393,Negative
2019-03-18,276.0,278.049988,267.299988,269.48999,269.48999,10281000,3,2019,0.7552207695995072,Slight Positive
2019-03-15,283.51001,283.72000099999997,274.399994,275.429993,275.429993,14785500,3,2019,2.2041646147970217,Positive
2019-03-14,292.450012,295.390015,288.290009,289.959991,289.959991,7103400,3,2019,5.275386983726205,Among Top Gainers
2019-03-13,283.899994,291.98999,282.700012,288.959991,288.959991,6844700,3,2019,-0.34487516589831735,Slight or No Change
2019-03-12,286.48999,288.070007,281.059998,283.359985,283.359985,7504100,3,2019,-1.937986632896871,Negative
2019-03-11,283.519989,291.27999900000003,280.5,290.920013,290.920013,7392300,3,2019,2.6679942123797096,Positive
2019-03-08,276.910004,285.589996,275.890015,284.140015,284.140015,8819600,3,2019,-2.330536813223638,Negative
2019-03-07,278.839996,284.700012,274.25,276.589996,276.589996,9442500,3,2019,-2.6571473926331746,Negative
2019-03-06,276.480011,281.51001,274.390015,276.23999,276.23999,10335500,3,2019,-0.126543260805434,Slight or No Change
2019-03-05,282.0,284.0,270.100006,276.540009,276.540009,18764700,3,2019,0.1086080983423221,Slight or No Change
2019-03-04,298.119995,299.0,282.77999900000003,285.359985,285.359985,17096800,3,2019,3.1894032374895964,Among Top Gainers
2019-03-01,306.940002,307.130005,291.899994,294.790009,294.790009,22911400,3,2019,3.304606285285594,Among Top Gainers
2019-02-28,318.920013,320.0,310.809998,319.880005,319.880005,10520700,2,2019,8.511141909154718,Bull Run
2019-02-27,301.77999900000003,316.299988,300.549988,314.73999,314.73999,11183900,2,2019,-1.606857233855552,Negative
2019-02-26,292.22000099999997,302.01001,288.769989,297.859985,297.859985,8582500,2,2019,-5.363158650414901,Among Top Losers
2019-02-25,297.910004,302.899994,297.0,298.769989,298.769989,6626500,2,2019,0.3055140152511626,Slight or No Change
2019-02-22,294.48999,296.5,292.100006,294.709991,294.709991,5740600,2,2019,-1.3589042238107862,Negative
2019-02-21,301.809998,303.23999,290.5,291.230011,291.230011,8909200,2,2019,-1.1808150745727608,Negative
2019-02-20,304.410004,306.299988,299.0,302.559998,302.559998,7142100,2,2019,3.8903912962459097,Among Top Gainers
2019-02-19,306.559998,311.540009,305.47000099999997,305.640015,305.640015,4168400,2,2019,1.017985530261667,Positive
2019-02-15,304.5,308.0,303.899994,307.880005,307.880005,3904900,2,2019,0.7328850576060697,Slight Positive
2019-02-14,303.380005,306.769989,301.0,303.769989,303.769989,5200800,2,2019,-1.3349408643799299,Negative
2019-02-13,312.350006,312.75,305.570007,308.170013,308.170013,5141600,2,2019,1.44847225181286,Positive
2019-02-12,316.200012,318.190002,309.619995,311.809998,311.809998,5517600,2,2019,1.1811613221433204,Positive
2019-02-11,311.600006,318.600006,310.5,312.839996,312.839996,7129700,2,2019,0.3303287279454059,Slight or No Change
